ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
38.140.198.fdh,2017-05-14,00:00:00,0.0,76267.0,0001437749-17-008941,pke20170226_10k.htm,200.0,1938180.0,0.0,0.0,0.0,10.0,0.0,
38.140.198.fdh,2017-05-14,00:00:00,0.0,76267.0,0001437749-17-008941,-index.htm,200.0,14196.0,1.0,0.0,0.0,10.0,0.0,
38.140.198.fdh,2017-05-14,00:00:00,0.0,76267.0,0001437749-17-008941,pke20170226_10k.htm,301.0,670.0,0.0,0.0,0.0,10.0,0.0,
49.77.228.ecb,2017-05-14,00:00:00,0.0,97476.0,0001127602-17-017806,-index.htm,301.0,680.0,1.0,0.0,0.0,10.0,0.0,
49.77.228.ecb,2017-05-14,00:00:00,0.0,1578809.0,0001178913-17-001367,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
49.77.228.ecb,2017-05-14,00:00:00,0.0,58492.0,0001127602-17-017646,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
49.77.228.ecb,2017-05-14,00:00:00,0.0,1578809.0,0001178913-17-001367,-index.htm,206.0,2741.0,1.0,0.0,0.0,10.0,0.0,
49.77.228.ecb,2017-05-14,00:00:00,0.0,97476.0,0001127602-17-017806,-index.htm,206.0,2920.0,1.0,0.0,0.0,10.0,0.0,
49.77.228.ecb,2017-05-14,00:00:00,0.0,353184.0,0001193125-17-165076,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
49.77.228.ecb,2017-05-14,00:00:00,0.0,1610950.0,0001193125-17-166123,-index.htm,301.0,685.0,1.0,0.0,0.0,10.0,0.0,
49.77.228.ecb,2017-05-14,00:00:00,0.0,1610950.0,0001193125-17-166123,-index.htm,206.0,2759.0,1.0,0.0,0.0,10.0,0.0,
52.27.9.jbf,2017-05-14,00:00:00,0.0,1136893.0,0001136893-16-000056,-index.htm,200.0,7401.0,1.0,0.0,0.0,10.0,0.0,
52.27.9.jbf,2017-05-14,00:00:00,0.0,1136893.0,0001136893-15-000051,-index.htm,200.0,7382.0,1.0,0.0,0.0,10.0,0.0,
52.27.9.jbf,2017-05-14,00:00:00,0.0,1136893.0,0001136893-16-000059,-index.htm,200.0,6669.0,1.0,0.0,0.0,10.0,0.0,
52.27.9.jbf,2017-05-14,00:00:00,0.0,1136893.0,0001193125-15-392106,-index.htm,200.0,7174.0,1.0,0.0,0.0,10.0,0.0,
54.158.86.dci,2017-05-14,00:00:00,0.0,1344980.0,0001179110-17-003226,-index.htm,200.0,7495.0,1.0,0.0,0.0,10.0,0.0,
54.183.87.hhg,2017-05-14,00:00:00,0.0,1201792.0,0001201792-17-000003,.txt,200.0,11127822.0,0.0,0.0,0.0,10.0,0.0,
54.183.87.hhg,2017-05-14,00:00:00,0.0,1206264.0,0001206264-17-000021,.txt,200.0,21462822.0,0.0,0.0,0.0,10.0,0.0,
54.212.94.jcd,2017-05-14,00:00:00,0.0,888504.0,0001206774-17-001609,-index.htm,301.0,681.0,1.0,0.0,0.0,10.0,0.0,
54.212.94.jcd,2017-05-14,00:00:00,0.0,888504.0,0001206774-17-001609,-index.htm,200.0,6979.0,1.0,0.0,0.0,10.0,0.0,
54.212.94.jcd,2017-05-14,00:00:00,0.0,888504.0,0001206774-17-001609,-index.htm,301.0,287.0,1.0,0.0,1.0,10.0,0.0,
54.67.64.eij,2017-05-14,00:00:00,0.0,1610950.0,0001610950-17-000024,-index.htm,301.0,679.0,1.0,0.0,0.0,10.0,0.0,
54.67.64.eij,2017-05-14,00:00:00,0.0,1562214.0,0001144204-17-026524,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
54.67.64.eij,2017-05-14,00:00:00,0.0,1610950.0,0001610950-17-000024,-index.htm,200.0,3318.0,1.0,0.0,0.0,10.0,0.0,
54.67.64.eij,2017-05-14,00:00:00,0.0,1562214.0,0001144204-17-026524,-index.htm,200.0,3290.0,1.0,0.0,0.0,10.0,0.0,
54.67.64.eij,2017-05-14,00:00:00,0.0,1535117.0,0001535117-17-000004,primary_doc.xml,200.0,2090.0,0.0,0.0,0.0,10.0,0.0,
54.85.114.eib,2017-05-14,00:00:00,0.0,1411685.0,9999999997-17-006089,.txt,200.0,5995.0,0.0,0.0,0.0,10.0,0.0,
54.85.114.eib,2017-05-14,00:00:00,0.0,1411685.0,9999999997-17-006089,filename1.pdf,200.0,7828.0,0.0,0.0,0.0,10.0,0.0,
62.65.39.jcf,2017-05-14,00:00:00,0.0,1352900.0,0001352900-16-000030,-index.htm,301.0,678.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1635046.0,0001209191-17-032209,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1479290.0,0001209191-17-032208,-index.htm,200.0,7498.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1184552.0,0001209191-17-032207,-index.htm,200.0,7600.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1107464.0,0001209191-17-032204,-index.htm,200.0,7541.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1597585.0,0001209191-17-032205,-index.htm,200.0,7514.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1479290.0,0001209191-17-032208,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1532023.0,0001209191-17-032206,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1107464.0,0001209191-17-032204,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1479290.0,0001209191-17-032203,-index.htm,200.0,7499.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1534002.0,0001209191-17-032202,-index.htm,200.0,7566.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1097672.0,0001097672-17-000023,-index.htm,200.0,7511.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1575647.0,0001246360-17-001869,-index.htm,200.0,7530.0,1.0,0.0,0.0,10.0,0.0,
64.124.25.jig,2017-05-14,00:00:00,0.0,1440660.0,0001225208-17-009635,-index.htm,200.0,7564.0,1.0,0.0,0.0,10.0,0.0,
